name,instance_id,n_vars,n_clauses,status,solver,time_sec,decisions,conflicts,learned,proof_size,proof_depth
scale_n10,0,10,42,UNKNOWN,NeuroProof,3.7643505000014557,50002,50000,50000,0,0
scale_n10,0,10,42,SAT,DPLL-Baseline,0.0005500999996002065,7,0,0,0,0
scale_n10,0,10,42,SAT,Glucose4,0.0005560000008699717,0,0,0,0,0
scale_n10,1,10,42,SAT,NeuroProof,0.00026280000020051375,4,0,0,0,0
scale_n10,1,10,42,SAT,DPLL-Baseline,0.0002533999995648628,4,0,0,0,0
scale_n10,1,10,42,SAT,Glucose4,0.0004644999989977805,0,0,0,0,0
scale_n10,2,10,42,UNKNOWN,NeuroProof,4.311717099999441,50010,50000,50000,0,0
scale_n10,2,10,42,UNSAT,DPLL-Baseline,0.0006438000000343891,9,0,0,0,0
scale_n10,2,10,42,UNSAT,Glucose4,0.0007602999994560378,0,0,0,0,0
scale_n15,0,15,64,SAT,NeuroProof,0.009008999999423395,111,103,103,0,0
scale_n15,0,15,64,SAT,DPLL-Baseline,0.0005112999988341471,5,0,0,0,0
scale_n15,0,15,64,SAT,Glucose4,0.0006115000014688121,0,0,0,0,0
scale_n15,1,15,64,SAT,NeuroProof,0.008366199999727542,110,101,101,0,0
scale_n15,1,15,64,SAT,DPLL-Baseline,0.0012403000000631437,10,0,0,0,0
scale_n15,1,15,64,SAT,Glucose4,0.0005584999998973217,0,0,0,0,0
scale_n15,2,15,64,UNKNOWN,NeuroProof,9.869681700000001,50005,50000,50000,0,0
scale_n15,2,15,64,SAT,DPLL-Baseline,0.0007356000005529495,7,0,0,0,0
scale_n15,2,15,64,SAT,Glucose4,0.0006666999997833045,0,0,0,0,0
scale_n20,0,20,85,UNKNOWN,NeuroProof,10.984153600000354,50004,50000,50000,0,0
scale_n20,0,20,85,SAT,DPLL-Baseline,0.0012598000012076227,11,0,0,0,0
scale_n20,0,20,85,SAT,Glucose4,0.0007745000002614688,0,0,0,0,0
scale_n20,1,20,85,SAT,NeuroProof,0.011857699999382021,111,102,102,0,0
scale_n20,1,20,85,SAT,DPLL-Baseline,0.0013471999991452321,8,0,0,0,0
scale_n20,1,20,85,SAT,Glucose4,0.0007772000008117175,0,0,0,0,0
scale_n20,2,20,85,SAT,NeuroProof,0.011651699998765253,112,103,103,0,0
scale_n20,2,20,85,SAT,DPLL-Baseline,0.001222099999722559,8,0,0,0,0
scale_n20,2,20,85,SAT,Glucose4,0.0007255000000441214,0,0,0,0,0
scale_n25,0,25,106,UNKNOWN,NeuroProof,8.22537419999935,50008,50000,50000,0,0
scale_n25,0,25,106,UNSAT,DPLL-Baseline,0.00537619999886374,24,0,0,0,0
scale_n25,0,25,106,UNSAT,Glucose4,0.0006654999997408595,0,0,0,0,0
scale_n25,1,25,106,SAT,NeuroProof,0.016148400000020047,124,102,102,0,0
scale_n25,1,25,106,SAT,DPLL-Baseline,0.0013650000000779983,10,0,0,0,0
scale_n25,1,25,106,SAT,Glucose4,0.0004922000007354654,0,0,0,0,0
scale_n25,2,25,106,SAT,NeuroProof,0.02303840000058699,158,108,108,0,0
scale_n25,2,25,106,SAT,DPLL-Baseline,0.00506400000085705,22,0,0,0,0
scale_n25,2,25,106,SAT,Glucose4,0.0008442999987892108,0,0,0,0,0
scale_n30,0,30,128,UNKNOWN,NeuroProof,10.657209399998465,50027,50000,50000,0,0
scale_n30,0,30,128,UNSAT,DPLL-Baseline,0.008527799998773844,28,0,0,0,0
